,game_date,pts
54953,2021-01-08,89
54991,2021-01-10,89
55029,2021-01-13,109
55109,2021-01-18,91
55265,2021-01-29,102
55306,2021-01-31,115
55407,2021-02-06,110
55426,2021-02-07,103
55522,2021-02-13,121
55552,2021-02-15,123
55636,2021-02-21,103
55679,2021-02-23,106
55713,2021-02-25,140
55744,2021-02-27,110
55837,2021-03-04,114
55991,2021-03-18,94
56042,2021-03-21,100
56077,2021-03-23,131
56114,2021-03-25,106
56190,2021-03-29,88
56261,2021-04-02,86
56382,2021-04-09,133
56414,2021-04-11,102
56435,2021-04-12,111
56544,2021-04-18,122
56591,2021-04-20,109
56609,2021-04-21,137
56666,2021-04-24,120
56697,2021-04-26,110
56745,2021-04-28,113
57006,2021-05-13,102
57048,2021-05-15,118
57080,2021-05-16,96
57110,2021-10-20,138
57183,2021-10-24,104
57209,2021-10-26,112
57317,2021-11-01,104
57406,2021-11-07,109
57454,2021-11-10,100
57545,2021-11-15,92
57581,2021-11-17,98
57628,2021-11-20,106
57676,2021-11-23,106
57731,2021-11-26,97
57822,2021-12-02,115
57855,2021-12-04,99
57987,2021-12-12,97
58018,2021-12-14,96
58123,2021-12-21,105
58151,2021-12-23,117
58172,2021-12-25,101
58296,2022-01-04,104
58322,2022-01-06,108
58383,2022-01-10,111
58417,2022-01-12,108
58489,2022-01-17,87
58517,2022-01-18,110
58559,2022-01-20,91
58607,2022-01-23,110
58752,2022-01-31,116
58790,2022-02-02,108
58994,2022-02-14,123
59033,2022-02-16,106
59123,2022-02-27,109
59413,2022-03-16,128
59450,2022-03-18,100
59501,2022-03-20,93
59534,2022-03-22,111
59635,2022-03-28,109
59670,2022-03-30,114
59728,2022-04-02,101
59803,2022-04-06,98
59866,2022-04-10,105
59955,2022-10-21,130
60001,2022-10-24,115
60023,2022-10-26,134
60142,2022-11-02,99
60192,2022-11-05,118
60284,2022-11-11,121
60321,2022-11-13,135
60492,2022-11-25,129
60518,2022-11-27,123
60597,2022-11-30,103
60624,2022-12-03,100
60640,2022-12-04,92
60687,2022-12-07,113
60747,2022-12-11,112
60887,2022-12-20,132
60900,2022-12-21,106
60933,2022-12-23,117
60952,2022-12-25,112
61084,2023-01-02,102
61105,2023-01-04,117
61202,2023-01-09,107
61228,2023-01-11,119
61306,2023-01-16,121
61346,2023-01-18,105
61433,2023-01-24,105
61539,2023-01-31,123
61577,2023-02-02,106
61614,2023-02-04,128
61625,2023-02-05,108
61706,2023-02-11,126
61736,2023-02-13,124
61825,2023-02-25,128
61864,2023-02-27,109
61889,2023-03-01,142
61985,2023-03-07,105
62082,1996-11-19,92
62227,2000-03-28,95
62231,2000-04-02,82
62246,2000-11-07,103
62266,2000-12-14,68
62378,2002-02-28,86
62398,2002-03-27,89
62549,2003-11-01,74
62591,2003-11-03,75
62676,2003-11-08,87
62706,2003-11-10,80
62771,2003-11-14,80
62885,2003-11-21,85
62945,2003-11-24,94
62981,2003-11-26,97
62995,2003-11-27,70
63101,2003-12-03,87
63126,2003-12-05,81
63158,2003-12-06,92
63203,2003-12-09,90
63235,2003-12-10,73
63377,2003-12-19,99
63507,2003-12-26,98
63530,2003-12-27,100
63556,2003-12-29,114
63688,2004-01-06,96
63889,2004-01-17,101
63957,2004-01-21,71
64014,2004-01-23,96
64130,2004-01-30,92
64291,2004-02-07,76
64331,2004-02-10,90
64363,2004-02-11,98
64512,2004-02-24,99
64547,2004-02-25,95
64586,2004-02-27,94
64636,2004-02-29,96
64721,2004-03-05,109
64766,2004-03-07,99
64836,2004-03-12,94
64892,2004-03-14,103
64990,2004-03-20,81
65138,2004-03-27,85
65251,2004-04-03,86
65302,2004-04-06,86
65385,2004-04-10,102
65420,2004-04-12,101
65504,2004-11-03,93
65707,2004-11-13,97
65749,2004-11-16,81
65807,2004-11-18,93
65824,2004-11-19,101
65920,2004-11-24,91
66035,2004-11-30,110
66124,2004-12-04,101
66185,2004-12-07,88
66205,2004-12-08,86
66228,2004-12-10,104
66323,2004-12-14,87
66382,2004-12-17,113
66488,2004-12-22,109
66548,2004-12-27,119
66724,2005-01-05,94
66797,2005-01-08,79
