"X","first_name","last_name","official_id","fgm","fg_pct","fg3m","fg3_pct","ftm","ft_pct","oreb","dreb","reb","ast","stl","blk","tov","pf","pts","num_games","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
99,"Mark","Wunderlich",1203,-0.818605742831047,-0.28632275924567,-0.869509466091067,0.0922980107123467,0.335548719748763,-0.138623168176933,0.393759926691313,-0.921437468059349,-0.830779013602522,-0.875170289170518,-0.100291316105599,0.291393589111279,0.156585845694319,0.30644644746728,-0.805716114124164,856,3.4430057617585,-0.769640532344598,0.193991980676161,0.392500102518655,-0.584553439526065,0.535066285551376,0.703468806136882,-0.0530822334664177,0.273032282539418,-0.107893350175004,0.0151871095925753,0.0269519971140574,0.00594990734239314,-1.06309393480198e-15,1.00429197445732e-15
100,"Matt","Boland",2005,-0.111355375008157,-0.0887698783691159,-0.097530093555863,-0.0745277471996184,-0.0308484443935945,-0.0361131655987828,-0.166611308559901,0.0902156852330845,0.000991258814598081,-0.215143919196108,0.0730285117727847,-0.239238617605686,0.125929383490974,0.11452733491452,-0.117717115182887,2068,0.942614222353743,-0.332953059379268,0.598544811847703,-0.0751748756177594,1.31681634250784,-0.0514940714176768,-0.152439188349785,-0.0421613401163765,0.109135527257901,0.0249959361034047,0.0731402651690521,0.004566708111073,0.0109034479846057,-1.29546537541979e-15,1.32168579236804e-15
101,"Matt","Kallio",1627526,1.36815059838752,0.791493812498106,1.48987712654735,0.0627682265369548,-0.374827371156661,1.16174826527781,-0.842483973048925,1.14691865304011,0.812988670290777,1.5425998883462,-1.3564837260286,-0.861923697192507,-1.13706676523022,-1.11318056731128,1.40155657375638,106,-5.3605165641125,3.90609816789894,2.63173608369577,0.427387661779501,-0.359449516415526,0.389613371833226,0.190229431028348,1.72377358021767,-0.412704513680299,-0.26124120418252,-0.143686558801066,-0.215111616512712,-0.0448038729071085,1.02363055957652e-15,-1.16071639542767e-15
102,"Matt","Myers",202901,1.1825628687875,0.429602534942685,1.27088659633311,0.319421442371084,-0.332523363807407,0.149197239670046,-0.440255094720251,1.20986262692211,1.13898701632784,0.970147943080338,-0.381166383574613,0.26741800137611,-0.371713154430684,-0.262974151001025,1.20276488537795,368,-3.33988311048949,-0.342399534581067,0.355517056403908,1.70067932032035,-0.808589484431926,0.121536039801227,-1.01659989483718,-0.4402793883931,-0.632894023876189,-0.0756718172544682,0.189188216651843,0.183975858124575,0.0687218178550987,2.40783760017434e-15,-8.20015258635284e-16
103,"Michael","Henderson",2147,-1.21562003823106,-0.644192762216591,-1.15410557419587,-0.217244929668532,1.37454174477951,-0.00595682530482023,0.862299470871759,-1.32243116167575,-1.00585863458817,-0.744246291353888,0.0655398230637037,0.290405348039756,0.301239143347593,1.71958698545739,-0.951970502244846,288,5.59496811542975,-0.39418949388641,0.34482429913476,2.35839521474252,1.06198325658601,-0.428955701877536,1.57181070242066,0.296377970130858,0.343887040653092,0.416590722298578,-0.215675533447342,-0.0183964662583987,0.0283906840913823,1.61192342127714e-15,-9.00372845355058e-17
104,"Michael","Smith",1193,-0.207582878922538,-0.0378747107308188,-0.175150178889101,0.0511628427720003,0.220108364345618,-0.00719995190240645,-0.102250498942626,-0.0774446725243778,-0.154744693997496,-0.307951915169831,-0.0666663001582164,-0.326296925939941,0.182324206044836,0.34353375547515,-0.156847752358211,2218,1.33342302271211,0.360401887719921,0.029813575611451,0.14726584677948,0.90515276803434,-0.040906402352938,-0.218725148664752,0.0831340825935474,0.143259850103239,-0.0487839893117081,0.137232691547991,-0.0291947161271409,-0.0206616545251125,-1.33483319850112e-15,7.12601742547024e-16
105,"Mike","Callahan",1147,-0.470839332504688,-0.132011978377128,-0.442709820041597,0.16288313065381,-0.332002448060545,-0.0879663418481033,-0.0731898220748445,-0.434243500455493,-0.553870581744056,-0.398657691385854,-0.059712085922095,-0.0910570762208093,-0.270508708766275,-0.1897248811234,-0.553493481124092,1854,1.39916093872694,-0.345200982061247,0.497794964011977,-0.954901974438122,-0.668357755834786,0.0395285105896715,0.259453218127752,-0.0638541534207332,0.278031635484732,0.327574779980306,-0.135567632354254,-0.00449319549495268,-0.0416184275578235,7.57460623981954e-17,1.77334765638576e-15
107,"Mitchell","Ervin",203591,0.962515101085637,0.454040599023694,1.03861868979243,0.230076432880533,0.430663689616171,0.419325218905075,-0.969848692059227,1.16857153278582,0.758404246856667,0.809024894355103,-0.0330710181630965,-0.140175239786344,-0.38358714302192,0.257181512453689,1.13198546563651,750,-2.81597109391955,0.745345736570564,-0.410802563709167,1.74048402177902,0.645475825326278,-0.80461113700314,-0.0765386210235199,-0.497981946574105,0.55361673163838,-0.122014738789695,0.0141475642260218,0.0063733822631848,0.0821326183273681,1.9681304794645e-15,-1.79697027938471e-16
108,"Monty","McCutchen",1176,-0.511473331902758,-0.215050837090461,-0.552549226604106,0.0617841506172461,0.0118717624721419,-0.17928206190035,0.187179569550601,-0.456254635428349,-0.416254025801185,-0.669422005140727,-0.450196881838133,-0.157197742460725,-0.121641712584554,0.31179202444772,-0.549844143891855,1788,2.3051099809388,0.475840032994185,1.05610292365986,-0.0559304823744758,-0.445588989429714,0.199703334481477,-0.26502769998444,0.0386973771559731,0.0219060172227225,0.125503207529874,0.174383605762119,-0.0115572776755453,0.00107771381934424,1.82075699175305e-15,-3.00362266593967e-16
109,"Mousa","Dagher",1628159,1.37017377637642,0.986860954703016,1.28032186921571,0.296419075093941,-0.275716311607974,0.645127800868677,-0.87248256333346,0.937482305726881,0.549181983760921,1.28393277108318,-0.447708934350854,-0.610592708702092,-0.541780420636981,-0.307104624349845,1.33951158062517,372,-4.26245387448586,2.25121791695589,-0.135605730094433,0.373679870112821,0.178781944908494,0.0545755681780656,0.00766913539587934,0.136169453930749,-0.506251185476046,0.271808893136292,0.188688095838436,-0.064403196793499,0.00166626857006013,-4.15267035880986e-16,-1.38245231443697e-15
110,"Natalie","Sago",1627541,1.18657377678239,0.739812414598229,1.3446749587222,0.282706881477621,0.000530153157141717,0.718088361501406,-0.937068783968832,0.96003141544664,0.535035058381601,1.31306816961453,0.207995332223274,-0.374118774319427,0.0399834126694913,-0.430375076657517,1.30704388047009,436,-3.8256082380403,0.564954238448736,-1.43039778160947,0.636670162923053,1.30806861488753,0.0690268428723592,0.304504607315238,0.345330880029599,0.00395864371247318,-0.106339329401011,-0.168481090781188,0.0792005146823377,0.036152913178765,2.47762908043168e-15,9.83517900515412e-16
111,"Nate","Green",1627524,1.17569083342371,0.445993288458275,1.401843724426,0.24594278088493,-0.880775967129522,0.877794406088834,-1.04545444734101,1.19531001250348,0.742243774025163,1.37027914443107,-0.746452887632263,-0.351154111954391,-0.966156979316053,-1.20192502832393,1.13299861826367,272,-5.08889215690019,1.43998751056279,1.64157287769381,-0.0939534556862472,-0.951767053835569,0.344109133847939,-0.153663075932647,1.07958348642534,0.230874508621046,0.245329449091483,-0.320287031659713,0.00260762867166499,0.0801156966501065,1.00224200884996e-15,2.51569488513076e-16
112,"Nick","Buchert",202007,0.208559048403037,0.0120411157380285,0.380226224156366,0.165658606059498,-0.454674866938567,0.219873861563867,-0.533036969079061,0.433001590145698,0.172052665982298,0.132079997838137,0.0267403208434101,-0.0195709710094355,0.000707511921143475,-0.413340410723436,0.189783408276307,1342,-0.89492142981477,-0.752760995255019,0.139906562003696,-0.184324062035987,0.206387483616432,0.404376357136932,-0.276688633477815,0.197502502407194,0.485362348234363,0.0983150728140046,-0.00788673988079114,0.105983898450522,0.0255849125597281,-1.20722031572859e-15,-8.53298887467923e-16
113,"Nolan","Fine",1160,-1.27836852889425,-1.07606163861067,-1.23189163939068,-0.510525459521417,0.294323058270929,-0.510849553838695,1.45082375113259,-0.978351766517009,-0.234119417594785,-0.709515599767046,-0.0240470193740912,1.36000552897451,0.272992617135744,0.913823322141094,-1.25686389050328,124,5.64844401508697,-4.02151630642761,3.00727096480791,2.68433077236173,0.214372037066147,0.654222373820906,0.800222531590253,-0.18642561736942,-0.591952200366129,0.429536539698511,-0.244439728906107,-0.0558031321968029,-0.0602022656197715,-1.99017562159194e-15,1.13739727956364e-15
114,"Olandis","Poole",2716,-0.468742428130165,0.0431705602069447,-0.663589482066005,0.156302829771004,0.137373470450441,-0.0073349136258213,0.180748290033001,-0.786108374956373,-0.806130086231664,-0.524021795451526,-0.0182178581338529,-0.173315348551602,0.0969019008871172,-0.0631025291995228,-0.540177327223656,1112,2.180491973492,0.0792900716718454,-0.301795654076008,-0.617316531487322,-0.144760564374845,0.361015549592671,0.728241990923465,0.134160579791642,-0.034545512772724,-0.133756624717799,0.00682792604820291,-0.0859100018412049,0.0314543720935934,-1.34677376111541e-16,5.31739420868927e-16
115,"Pat","Fraher",2003,-0.130545996989746,0.0820903737208533,-0.143841514359234,0.242625163234145,0.0509356786319066,-0.0366806968078188,-0.183422477954121,-0.186830915001597,-0.33362719623099,-0.188915777201361,0.0743222209206951,-0.224426892678624,-0.156776448257584,-0.154019846001179,-0.131139718370785,2212,0.669222589830794,0.0405999350886248,-0.400437131389828,-0.51795453080585,-0.197013896973593,-0.316005163494437,0.217331174056301,-0.203086990071969,0.136299072160375,-0.12245392882484,-0.109719735691533,0.0365808300474143,0.0211718390037964,4.81240787356976e-16,-8.02215108369544e-16
117,"Phenizee","Ransom",1627963,1.232018405328,0.597683302453168,1.38951081108554,0.29941078353874,-0.772404821103051,0.547362232367346,-1.05746312189044,1.36237327419912,0.930128612893222,1.27773534774557,-0.213691471315005,-0.399221965357365,-0.64372755690106,-0.695477666881786,1.18762611626756,380,-4.74584106284354,0.741304958402443,0.332110305307332,-0.114586659420324,-0.0242210461156292,-0.245475898752957,-0.582011825194787,0.179634852162337,-0.000297738105079644,0.40507450728433,0.00097840261605183,-0.0232884560233119,-0.0318291689013484,-1.69765623150888e-15,-1.30379095729216e-16
118,"Phil","Robinson",1189,-0.601063283026266,-0.087843938856629,-0.819062944291443,-0.0131395619030883,0.674077708309002,-0.180334847514283,0.395505903458896,-0.69689055248466,-0.567023546277529,-0.6730270811028,-0.197162754220332,-0.401377021481912,-0.029604203978983,0.807437308044561,-0.572346871022913,850,3.20615153149088,1.07382871923011,0.384247007971804,0.3056648022145,0.575061477799403,-0.565296642049435,0.361018082526201,-0.0860558310024081,-0.206065229058343,-0.0332298011097911,0.19819200885077,-0.201947302762833,-0.0219825215896654,-1.13304227395879e-15,5.34496029865728e-17
120,"Ray","Acosta",1626300,1.12698412261542,0.690022423522102,1.29506550116906,0.383174657030549,-0.139721263791469,0.584179711848906,-1.07447806610141,1.09481897426831,0.606485762366724,1.11296903103956,-0.422831112599311,-0.784928982299595,-0.817047583380145,-0.478536288069462,1.21839349146103,516,-4.22518251916984,2.49154118041043,-0.0705094126966816,-0.0514043008868727,-0.203879508915325,-0.813361728126529,-0.323838100390788,0.251188595970009,0.117028657455693,-0.00454657667292408,-0.133024951456865,0.0288560744090704,0.00858429907750665,1.83205268516024e-15,2.36617805116668e-16
121,"Robbie","Robinson",2883,-0.951871696390464,0.162260505225627,-0.888770350326746,0.407116786244561,1.7385457369301,-0.423475807419202,0.463472397565946,-1.5760393312543,-1.55274882910433,-1.04007507156009,-0.773195347876271,-0.714722700033326,0.865710623279906,2.11883031674813,-0.596495914809687,312,5.58893552964388,3.83608961898751,-2.46583307841631,1.49391049524872,-0.0924449602548527,0.566104936298353,-0.567066317903197,-0.329710342365132,-0.302114879604504,-0.189205478490052,0.122202853872334,0.158566316002689,-0.035158357712099,-3.34079758196095e-15,8.19768585677865e-16
122,"Robert","Hussey",1628480,1.56870314490371,1.68000975414775,1.29488571492464,0.226360462776908,-0.516854461187837,1.00812439854758,-1.42465453965678,0.329084082570401,-0.508931202611366,1.21143302252771,0.0403384427046155,-0.826641430059109,-0.905446593540885,-1.60758654572479,1.42106677857804,114,-5.47151070945415,2.48680820299696,-0.495548208842797,-1.92308110334993,0.554591722817811,0.482353536182329,2.59592234551112,-0.267251293883378,-0.181511349096125,-0.116894877613417,-0.125132115541784,0.237418064144993,0.00604920484685086,-7.12299422230512e-16,-1.51174124691011e-15
123,"Rodney","Mott",1179,-0.0813792670053654,0.0600442951957913,-0.130171568798266,0.0725896306453023,-0.173187441079684,-0.0632648512873122,-0.13243386183913,-0.213816488435743,-0.333201302418861,-0.0363623079457729,-0.13014100735212,-0.14019968090742,0.248997150652884,0.0676114484996139,-0.142346996112705,2136,0.988314259037034,-0.0799714302662191,0.110037865643602,-0.134334929794339,0.490956868838704,0.74440496533548,-0.191518312332978,-0.0803602707535831,-0.168063085710162,0.22095463041027,-0.0963772939587432,-0.000464786831991907,0.0582883253993652,-1.79906261205776e-16,8.04707578212998e-16
124,"Ron","Garretson",1164,-0.384342118354191,-0.180034044448885,-0.502575783340423,0.0870278669076418,-0.593447558558035,-0.207913871093191,0.210858411252604,-0.399557087217004,-0.33507619098283,-0.430785336599731,0.234803320100728,0.142569091200043,-0.00749843435822351,-0.516364445522033,-0.578475779311955,1912,1.48246683281714,-1.81662242245787,0.485847490009913,-1.13088910919931,-0.256189078406721,0.29708848712293,0.21966699777568,-0.0974293139826363,-0.197347946302033,0.134103453338871,0.0188400653324866,0.0010722768367146,0.0118072889992345,-1.11073235176187e-15,-2.90272755721639e-16
